                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000000E+005                  1.0000000000000000E+000                  5.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                     1534                  7.2512226448181213E-002                  7.1753622405374307E-002                  7.8129681613248313E-008                  9.9999999996556233E-001                  9.7375037336711867E-001                  7.1753622405374307E-002                  7.8129681613248313E-008                  9.9999999996556233E-001                  9.7375037336711867E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7522251014825603E+000                  7.3589951541001219E-001                 -1.3318148305686661E-001                 -4.7782108040926467E-002                  4.5334535694949780E+000                  3.4154943361966041E+004                  7.1355460741485546E+000                  1.8998150527833879E+000                  1.7164701818660379E+001                  6.2027338471460491E-001                  8.4974994414910698E-001                  1.2973356030639975E+000                  6.9947673228661988E-001                  2.8036576693691373E-001                  2.9133923804683186E-003                  9.3604175653412020E-003                  3.4416106108119912E-003                  9.3604466091399986E-003                  6.9990788870733567E-001                  2.8001376331693384E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.1700895688968382E-011                                        0                                        0 
                                       2                  2.2000000000000000E+005                  1.0000000000000000E+000                  5.0791812460476242E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      818                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7368459351126291E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7368459351126291E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7523170538682957E+000                  7.3474135488878456E-001                 -1.3386551521953416E-001                 -4.8308028893731994E-002                  4.5345054112005894E+000                  3.4237765353978073E+004                  7.1343207953658725E+000                  1.9112366069252646E+000                  1.7175017543868485E+001                  6.2028167377193433E-001                  8.4974994414924154E-001                  1.2973356030637924E+000                  6.9947673228673057E-001                  2.8036576693695814E-001                  2.9133923804687801E-003                  9.3604175653426835E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734444E-001                  2.8001376331693695E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.5874540137821264E-011                                        0                                        0 
                                       3                  3.6400000000000000E+005                  1.0000000000000000E+000                  5.1583624920952493E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      786                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7384911031050980E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7384911031050980E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7527187925371202E+000                  7.3677304427017209E-001                 -1.3266627170761036E-001                 -4.8511884475420076E-002                  4.5349131223639647E+000                  3.4269922505668874E+004                  7.1333194331181993E+000                  1.9242632645086843E+000                  1.7187180265310147E+001                  6.2029175809494430E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734388E-001                  2.8001376331693695E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.3490132728339553E-012                                        0                                        0 
                                       4                  5.3680000000000000E+005                  1.0000000000000000E+000                  5.2375437381428744E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      784                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7417568638829211E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7417568638829211E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7533759862048206E+000                  7.4191900096425645E-001                 -1.2964350624987037E-001                 -4.8314889081950176E-002                  4.5345191315770252E+000                  3.4238847021991322E+004                  7.1326243759919281E+000                  1.9391244896157436E+000                  1.7201511411911948E+001                  6.2029976086060423E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734388E-001                  2.8001376331693695E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  6.7245619972553797E-012                                        0                                        0 
                                       5                  7.4415999999999988E+005                  1.0000000000000000E+000                  5.3167249841904987E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      781                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7468647388990470E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7468647388990470E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7543392308959787E+000                  7.5103902491514507E-001                 -1.2433749593195785E-001                 -4.7588373305310773E-002                  4.5330661000237464E+000                  3.4124484545224528E+004                  7.1324094896933961E+000                  1.9561888965621084E+000                  1.7218558474270306E+001                  6.2030976771039159E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734399E-001                  2.8001376331693684E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.0676761772262151E-011                                        0                                        0 
                                       6                  9.7893929216610349E+005                  1.0000000000000000E+000                  5.3706597889359173E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      780                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7545004378972200E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7545004378972200E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7556044884267448E+000                  7.6457864255233576E-001                 -1.1657783756367517E-001                 -4.6239059182700569E-002                  4.5303674717785265E+000                  3.3913098538360871E+004                  7.1326678148149378E+000                  1.9745084550230134E+000                  1.7237350933273479E+001                  6.2032530254249918E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734422E-001                  2.8001376331693689E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.3974640122431322E-011                                        0                                        0 
                                       7                  1.2106118673239399E+006                  1.0000000000000000E+000                  5.3648746260965936E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      779                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7645198311875148E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7645198311875148E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7569979355122185E+000                  7.8090584789746498E-001                 -1.0740132489796787E-001                 -4.4437697020793830E-002                  4.5267647474547124E+000                  3.3632933412055907E+004                  7.1334057332434231E+000                  1.9919553678314827E+000                  1.7255745995617403E+001                  6.2033641198870004E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734422E-001                  2.8001376331693684E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.6087450512929716E-011                                        0                                        0 
                                       8                  1.4258922270576092E+006                  1.0000000000000000E+000                  5.3330044104627632E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      777                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7751066413159682E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7751066413159682E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7583929677970094E+000                  7.9847389543045932E-001                 -9.7739277716886883E-002                 -4.2396737999835600E-002                  4.5226828294127959E+000                  3.3318299626002336E+004                  7.1344434483578247E+000                  2.0077347863775876E+000                  1.7272755837328454E+001                  6.2034000110048582E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734422E-001                  2.8001376331693684E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.6375237836075648E-011                                        0                                        0 
                                       9                  1.6224555724450673E+006                  1.0000000000000000E+000                  5.2935025349603695E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      776                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7859134724951591E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712496E-001                  9.7859134724951591E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.7597451346435729E+000                  8.1656924636280659E-001                 -8.8006980507116486E-002                 -4.0234923088077884E-002                  4.5183591995892805E+000                  3.2988244105952253E+004                  7.1356469810620808E+000                  2.0218428793470733E+000                  1.7288245177476202E+001                  6.2034185961824018E-001                  8.4974994414924165E-001                  1.2973356030637921E+000                  6.9947673228673068E-001                  2.8036576693695819E-001                  2.9133923804687805E-003                  9.3604175653426852E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990788870734422E-001                  2.8001376331693678E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  6.5633359249303878E-011                                        0                                        0 
