                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      2.9999999999999999E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000000E+005                  2.9999999999999999E-001                  5.0000000000000000E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                     1421                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342240E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342240E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8706295005140312E+000                 -6.0538001206164402E+001                 -9.8999999999999986E+001                 -1.8706295005140317E+000                  3.5668071602541618E+000                  3.6881379784396481E+003                  1.3362622864716941E-002                 -1.8741082885765592E+000                 -5.4740962834397622E-001                  5.0098298648207402E+000                  1.0228921950179599E+005                  6.8964456684052022E+000                  2.0341145713258237E+000                  1.7067588065935865E+001                  6.2065297325921387E-001                  8.4989644700298761E-001                  1.2970086212731047E+000                  6.9967486703103277E-001                  2.7997104355557445E-001                  3.4415596792234915E-003                  9.3604466088996283E-003                  3.4415596792242041E-003                  9.3604466088996405E-003                  2.0990246010977334E-001                  8.3991313066667406E-002                 -1.8706601031469805E+000                 -6.0226703196937033E+000                 -6.0538001206164402E+001                 -7.0389587643828790E-012                                        0                                        0 
                                       2                  2.2000000000000000E+005                  2.9999999999999999E-001                  5.0791812460476242E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      753                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8706578592134404E+000                 -6.0537452692840340E+001                 -9.8999999999999986E+001                 -1.8706578592134404E+000                  3.5669348450941532E+000                  3.6892224696326466E+003                  1.3377617213442553E-002                 -1.8736212350890249E+000                 -5.4742147128019225E-001                  5.0098535506931725E+000                  1.0229479837874454E+005                  6.8965201293608311E+000                  2.0342691756595879E+000                  1.7067820164629648E+001                  6.2065286683002474E-001                  8.4989639637765335E-001                  1.2970087912182213E+000                  6.9967471561131234E-001                  2.7997104446378451E-001                  3.4415596531100160E-003                  9.3604466088995034E-003                  3.4415596531107255E-003                  9.3604466088995017E-003                  2.0990241468386278E-001                  8.3991313339130527E-002                 -1.8706884457024568E+000                 -6.0229278359240137E+000                 -6.0537452692840340E+001                 -2.9202040613693690E-013                                        0                                        0 
                                       3                  3.6400000000000000E+005                  2.9999999999999999E-001                  5.1583624920952493E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8706660186512878E+000                 -6.0537545740084980E+001                 -9.8999999999999986E+001                 -1.8706660186512878E+000                  3.5668302499608893E+000                  3.6883340672495156E+003                  1.3364829629476665E-002                 -1.8740365731176771E+000                 -5.4741995002799038E-001                  5.0098505081887685E+000                  1.0229408174222871E+005                  6.8965187809206796E+000                  2.0342635067331365E+000                  1.7067814093886053E+001                  6.2065297658309360E-001                  8.4989633562889777E-001                  1.2970089951464530E+000                  6.9967453391309631E-001                  2.7997104555466379E-001                  3.4415596217764214E-003                  9.3604466088993612E-003                  3.4415596217771422E-003                  9.3604466088993612E-003                  2.0990236017440650E-001                  8.3991313666394160E-002                 -1.8706966031993024E+000                 -6.0229635553570864E+000                 -6.0537545740084980E+001                  3.3366962569662529E-014                                        0                                        0 
                                       4                  5.3680000000000000E+005                  2.9999999999999999E-001                  5.2375437381428744E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8706735926760845E+000                 -6.0537633528762179E+001                 -9.8999999999999986E+001                 -1.8706735926760847E+000                  3.5668251236387003E+000                  3.6882905311744171E+003                  1.3364305936156114E-002                 -1.8740535910357310E+000                 -5.4741820634263882E-001                  5.0098470208180652E+000                  1.0229326032734469E+005                  6.8965175075090217E+000                  2.0342599626381661E+000                  1.7067809048702980E+001                  6.2065310348384717E-001                  8.4989626273242225E-001                  1.2970092398529494E+000                  6.9967431588208229E-001                  2.7997104686522201E-001                  3.4415595841790474E-003                  9.3604466088991894E-003                  3.4415595841797552E-003                  9.3604466088991912E-003                  2.0990229476509148E-001                  8.3991314059561714E-002                 -1.8707041753836355E+000                 -6.0229972634619910E+000                 -6.0537633528762179E+001                  3.1871910581898757E-014                                        0                                        0 
                                       5                  7.4415999999999988E+005                  2.9999999999999999E-001                  5.3167249841904987E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8706860408502035E+000                 -6.0537769168326115E+001                 -9.8999999999999986E+001                 -1.8706860408502035E+000                  3.5668246834745125E+000                  3.6882867930366997E+003                  1.3364384217806143E-002                 -1.8740510471558443E+000                 -5.4741605407432103E-001                  5.0098427162814296E+000                  1.0229224644638867E+005                  6.8965155114230141E+000                  2.0342518491602632E+000                  1.7067799018577553E+001                  6.2065316944874838E-001                  8.4989617526019368E-001                  1.2970095334880554E+000                  6.9967405425655460E-001                  2.7997104844002058E-001                  3.4415595390676072E-003                  9.3604466088989830E-003                  3.4415595390683146E-003                  9.3604466088989847E-003                  2.0990221627743297E-001                  8.3991314532001329E-002                 -1.8707166207594585E+000                 -6.0230494496951330E+000                 -6.0537769168326115E+001                  3.2783660083056524E-014                                        0                                        0 
                                       6                  9.9299199999999988E+005                  2.9999999999999999E-001                  5.3959062302381238E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8707001830141512E+000                 -6.0537931593975166E+001                 -9.8999999999999986E+001                 -1.8707001830141512E+000                  3.5668246454985804E+000                  3.6882864705225315E+003                  1.3364530018820403E-002                 -1.8740463091724462E+000                 -5.4741360913075643E-001                  5.0098378263943006E+000                  1.0229109470547500E+005                  6.8965131454223174E+000                  2.0342464600571528E+000                  1.7067790008371819E+001                  6.2065336492501388E-001                  8.4989607029844838E-001                  1.2970098858324819E+000                  6.9967374032224450E-001                  2.7997105033285019E-001                  3.4415594849415486E-003                  9.3604466088987367E-003                  3.4415594849422555E-003                  9.3604466088987367E-003                  2.0990212209714010E-001                  8.3991315099850153E-002                 -1.8707307595858618E+000                 -6.0231109924287152E+000                 -6.0537931593975166E+001                  3.1034959409546692E-014                                        0                                        0 
                                       7                  1.2915903999999997E+006                  2.9999999999999999E-001                  5.4750874762857489E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8707149819506537E+000                 -6.0538096937269458E+001                 -9.8999999999999986E+001                 -1.8707149819506537E+000                  3.5668245361732458E+000                  3.6882855420670312E+003                  1.3364699852368838E-002                 -1.8740407902874441E+000                 -5.4741063103758758E-001                  5.0098318702079627E+000                  1.0228969183100105E+005                  6.8965107309190445E+000                  2.0342372615718367E+000                  1.7067778900435034E+001                  6.2065358278415494E-001                  8.4989594435084059E-001                  1.2970103086223432E+000                  6.9967336362276566E-001                  2.7997105260871602E-001                  3.4415594199998746E-003                  9.3604466088984400E-003                  3.4415594200005819E-003                  9.3604466088984435E-003                  2.0990200908729625E-001                  8.3991315782609932E-002                 -1.8707455550460708E+000                 -6.0231751679855021E+000                 -6.0538096937269458E+001                  3.1502305941221317E-014                                        0                                        0 
                                       8                  1.6499084799999995E+006                  2.9999999999999999E-001                  5.5542687223333731E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8707332278831605E+000                 -6.0538308494417784E+001                 -1.6982618493791247E+001                 -1.8707332278831603E+000                  3.5668244493612979E+000                  3.6882848048087117E+003                  1.3364905248673292E-002                 -1.8740341158542608E+000                 -5.4740712019709947E-001                  5.0098248485269865E+000                  1.0228803802279753E+005                  6.8965076572475725E+000                  2.0342264564542463E+000                  1.7067765698343376E+001                  6.2065379972965595E-001                  8.4989579322321518E-001                  1.2970108159358635E+000                  6.9967291161511214E-001                  2.7997105534617694E-001                  3.4415593420843724E-003                  9.3604466088980844E-003                  3.4415593420850789E-003                  9.3604466088980844E-003                  2.0990187348500028E-001                  8.3991316603848190E-002                 -1.8707637965717885E+000                 -6.0232560151971448E+000                 -6.0538308494417784E+001                  3.0948318211742040E-014                                        0                                        0 
                                       9                  2.0798901759999995E+006                  2.9999999999999999E-001                  5.6334499683809982E+000                  3.2775799705279844E+001                 -9.8999999999999986E+001                                      752                  2.9999999999999999E-001                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8126152658342107E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8707578390510540E+000                 -6.0538577595668578E+001                 -1.7158709752846928E+001                 -1.8707578390510538E+000                  3.5668242709818307E+000                  3.6882832899054133E+003                  1.3365147869115713E-002                 -1.8740262319403098E+000                 -5.4740282148119079E-001                  5.0098162510951694E+000                  1.0228601311627727E+005                  6.8965037024010725E+000                  2.0342138529105949E+000                  1.7067747492453137E+001                  6.2065406004098822E-001                  8.4989561188487162E-001                  1.2970114246589239E+000                  6.9967236925494980E-001                  2.7997105864033367E-001                  3.4415592486082762E-003                  9.3604466088976577E-003                  3.4415592486089831E-003                  9.3604466088976594E-003                  2.0990171077695147E-001                  8.3991317592095160E-002                 -1.8707884021121945E+000                 -6.0233605815645168E+000                 -6.0538577595668578E+001                  3.1578213925175328E-014                                        0                                        0 
