                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      5.0000000000000000E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000000E+005                  5.0000000000000000E-001                  5.0000000000000000E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                     1428                  2.9526491088169352E-002                  1.0000000000000000E+000                  7.5435134321240460E-001                  5.8966863772874190E-002                  7.8127924574289541E-008                  1.0000000000000000E+000                  7.5435134321240460E-001                  5.8966863772874190E-002                  7.8127924574289541E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3873733803909647E+000                 -5.6779831379310217E+001                 -9.8999999999999986E+001                 -1.3873733803909647E+000                  3.5880217475963478E+000                  3.8727703760139038E+003                  4.0276544173337522E-002                 -1.3949478000557642E+000                 -3.5025855876795209E-001                  4.8373764752850477E+000                  6.8766429477102734E+004                  6.9623876651500680E+000                  1.9259962361053704E+000                  1.7020300071354750E+001                  6.2067285627200686E-001                  8.4972375023220192E-001                  1.2975354182390668E+000                  6.9922167204820540E-001                  2.8010051150433635E-001                  3.4396234044598030E-003                  9.3604465908581624E-003                  3.4416106108095374E-003                  9.3604466091399673E-003                  3.4993787961011064E-001                  1.3998937781872731E-001                 -1.3876467004900250E+000                 -4.5886227751204451E+000                 -5.6779831379310217E+001                 -4.0884257023787838E-012                                        0                                        0 
                                       2                  2.2000000000000000E+005                  5.0000000000000000E-001                  5.0791812460476242E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      776                  2.7810348174272435E-002                  9.9999999999899991E-001                  7.5571040099023490E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  9.9999999999899991E-001                  7.5571040099023490E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3871812314872769E+000                 -5.6779442784827602E+001                 -1.7158709752846928E+001                 -1.3871812314872769E+000                  3.5882512600882692E+000                  3.8748175677790182E+003                  4.0352300974689760E-002                 -1.3941316958336309E+000                 -3.5030953164072665E-001                  4.8374784210305970E+000                  6.8782573517816796E+004                  6.9624233872398573E+000                  1.9259885053407504E+000                  1.7020326167120881E+001                  6.2067332205808312E-001                  8.4972323348415479E-001                  1.2975369188531918E+000                  6.9922040670427521E-001                  2.8010108023816011E-001                  3.4396170038229817E-003                  9.3604465907944686E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993777538710746E-001                  1.3998939611047748E-001                 -1.3874544984103141E+000                 -4.5885151023823507E+000                 -5.6779442784827602E+001                 -1.8856463840272604E-012                                        0                                        0 
                                       3                  3.6400000000000000E+005                  5.0000000000000000E-001                  5.1583624920952493E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8165186020960964E-002                  1.0000000000000000E+000                  7.5544297181453735E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5544297181453735E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3869797165425586E+000                 -5.6779007912452116E+001                 -1.6857679757182947E+001                 -1.3869797165425584E+000                  3.5880487695517438E+000                  3.8730113486452910E+003                  4.0270298955900868E-002                 -1.3950151462948244E+000                 -3.5034627579827332E-001                  4.8375519093456907E+000                  6.8794213415011909E+004                  6.9624341196935884E+000                  1.9258833043336845E+000                  1.7020231241345655E+001                  6.2067402156543550E-001                  8.4972261344074340E-001                  1.2975387186234284E+000                  6.9921888939135657E-001                  2.8010176459224417E-001                  3.4396093204649117E-003                  9.3604465907175284E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993765036288016E-001                  1.3998941812286220E-001                 -1.3872529455704301E+000                 -4.5883737982572796E+000                 -5.6779007912452116E+001                 -1.1367376552654888E-012                                        0                                        0 
                                       4                  5.3680000000000000E+005                  5.0000000000000000E-001                  5.2375437381428744E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8270964656289928E-002                  1.0000000000000000E+000                  7.5514558144343558E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5514558144343558E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3867466811582290E+000                 -5.6778536478108585E+001                 -9.8999999999999986E+001                 -1.3867466811582292E+000                  3.5880353861440080E+000                  3.8728919980812348E+003                  4.0257337738437579E-002                 -1.3951549488645441E+000                 -3.5038941026766207E-001                  4.8376381782844682E+000                  6.8807880163085109E+004                  6.9624462527539634E+000                  1.9257556286393311E+000                  1.7020111160307842E+001                  6.2067471589665879E-001                  8.4972186948443751E-001                  1.2975408769156713E+000                  6.9921707022931623E-001                  2.8010258846880098E-001                  3.4396000972122414E-003                  9.3604465906251561E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993750039794097E-001                  1.3998944462620838E-001                 -1.3870198581949691E+000                 -4.5882233840650626E+000                 -5.6778536478108585E+001                 -1.1123525918138445E-012                                        0                                        0 
                                       5                  7.4415999999999988E+005                  5.0000000000000000E-001                  5.3167249841904987E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8378899938603330E-002                  1.0000000000000000E+000                  7.5492336595742282E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5492336595742282E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3864701618206898E+000                 -5.6777995801163094E+001                 -1.6857679757182947E+001                 -1.3864701618206898E+000                  3.5880262805680148E+000                  3.8728107984708663E+003                  4.0244533707807090E-002                 -1.3952931001844062E+000                 -3.5044027477560646E-001                  4.8377399073003566E+000                  6.8823999589190586E+004                  6.9624604003488590E+000                  1.9256012605328017E+000                  1.7019965703502862E+001                  6.2067565908728195E-001                  8.4972097687906978E-001                  1.2975434648018578E+000                  6.9921488955675559E-001                  2.8010358091051313E-001                  3.4395890248998195E-003                  9.3604465905142466E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993732053251586E-001                  1.3998947655687183E-001                 -1.3867432738516365E+000                 -4.5880501901723223E+000                 -5.6777995801163094E+001                 -1.0930034588239569E-012                                        0                                        0 
                                       6                  9.9299199999999988E+005                  5.0000000000000000E-001                  5.3959062302381238E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8506298578581196E-002                  1.0000000000000000E+000                  7.5472430776324650E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5472430776324650E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3861467511237389E+000                 -5.6777402911557324E+001                 -9.8999999999999986E+001                 -1.3861467511237389E+000                  3.5880156539827457E+000                  3.8727160373067236E+003                  4.0229494699214927E-002                 -1.3954554223310713E+000                 -3.5050018267839977E-001                  4.8378597231059430E+000                  6.8842989792633365E+004                  6.9624764535139194E+000                  1.9254142775009973E+000                  1.7019789036211247E+001                  6.2067674311952192E-001                  8.4971990597141833E-001                  1.2975465672742312E+000                  6.9921227610065861E-001                  2.8010477722882970E-001                  3.4395757324140364E-003                  9.3604465903810736E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993710482881307E-001                  1.3998951505405444E-001                 -1.3864197785142849E+000                 -4.5878613506220471E+000                 -5.6777402911557324E+001                 -1.0726896163166317E-012                                        0                                        0 
                                       7                  1.2915903999999997E+006                  5.0000000000000000E-001                  5.4750874762857489E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8622898876164753E-002                  1.0000000000000000E+000                  7.5451866046995286E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5451866046995286E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3857675601932031E+000                 -5.6776737174314384E+001                 -9.8999999999999986E+001                 -1.3857675601932034E+000                  3.5880030156866742E+000                  3.8726033399970283E+003                  4.0211745258267810E-002                 -1.3956470773674525E+000                 -3.5057073360444768E-001                  4.8380008249580397E+000                  6.8865360446540522E+004                  6.9624949786692705E+000                  1.9251909529608626E+000                  1.7019579272770859E+001                  6.2067805380379770E-001                  8.4971862121164554E-001                  1.2975502859206967E+000                  6.9920914478003238E-001                  2.8010622048647543E-001                  3.4395597738542472E-003                  9.3604465902211546E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993684618065946E-001                  1.3998956150800004E-001                 -1.3860404810442435E+000                 -4.5876516079167295E+000                 -5.6776737174314384E+001                 -1.0526154574790515E-012                                        0                                        0 
                                       8                  1.6499084799999995E+006                  5.0000000000000000E-001                  5.5542687223333731E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8752693508885919E-002                  1.0000000000000000E+000                  7.5430267549083418E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5430267549083418E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3853322137917843E+000                 -5.6776061582860827E+001                 -1.7158709752846928E+001                 -1.3853322137917841E+000                  3.5879878556003622E+000                  3.8724681598861698E+003                  4.0190788530037824E-002                 -1.3958734730096372E+000                 -3.5065361125291589E-001                  4.8381665802549758E+000                  6.8891649007276807E+004                  6.9625151863667503E+000                  1.9249201893570156E+000                  1.7019318985734831E+001                  6.2067971390149668E-001                  8.4971708002012680E-001                  1.2975547420138613E+000                  6.9920539417230332E-001                  2.8010796322696579E-001                  3.4395406147212297E-003                  9.3604465900291173E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993653609107489E-001                  1.3998961761658987E-001                 -1.3856049909026014E+000                 -4.5874449813706555E+000                 -5.6776061582860827E+001                 -1.0303263126100613E-012                                        0                                        0 
                                       9                  2.0798901759999995E+006                  5.0000000000000000E-001                  5.6334499683809982E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      769                  2.8894248089908987E-002                  1.0000000000000000E+000                  7.5406103756805509E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                  1.0000000000000000E+000                  7.5406103756805509E-001                  5.3577781256331614E-002                  7.8127924574289409E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3848305444183608E+000                 -5.6775359086715874E+001                 -9.8999999999999986E+001                 -1.3848305444183608E+000                  3.5879697975764349E+000                  3.8723071454782221E+003                  4.0166080700888396E-002                 -1.3961405434990741E+000                 -3.5075103044978062E-001                  4.8383614186487049E+000                  6.8922562938211995E+004                  6.9625376773002809E+000                  1.9245899324786233E+000                  1.7019003792798237E+001                  6.2068151345617406E-001                  8.4971523138637373E-001                  1.2975600802345957E+000                  6.9920090349498953E-001                  2.8011006984128695E-001                  3.4395176131336541E-003                  9.3604465897985066E-003                  3.4416106108095422E-003                  9.3604466091399656E-003                  3.4993616440593939E-001                  1.3998968546261395E-001                 -1.3851031365781443E+000                 -4.5872377840431389E+000                 -5.6775359086715874E+001                 -1.0091243721413772E-012                                        0                                        0 
