                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      5.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                              effective_T                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.7888543819998317E+003                  5.0000000000000000E+000                  3.2525749891599527E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1098                  1.0490809213491497E+000                  2.0671207133792574E-001                  7.8130380498642315E-008                  9.9999999987728150E-001                  9.9999999960722807E-001                  2.0671207133792574E-001                  7.8130380498642315E-008                  9.9999999987728150E-001                  9.9999999960722807E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9985113716462110E+032                  1.9494358115862168E+033                  2.1051641872649050E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6763104292713765E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7634264872431227E+000                 -3.3676946273373289E+001                 -9.8999999999999986E+001                  2.7634264872431227E+000                  4.2357741130030035E+000                  1.7209732226275639E+004                  5.6883398134852450E+002                  2.7549855326431838E+000                  4.2920337676821085E-001                  4.2784526042127222E+000                  1.8986836220711815E+004                  7.4358013280482398E+000                  1.3207089484223835E+000                  1.6890805867059189E+001                  6.2043658456709849E-001                  8.4949539844167454E-001                  1.2981579232340967E+000                  6.9899048274883091E-001                  2.8044904793613384E-001                  4.6411494911583497E-005                  9.3097297446271664E-003                  3.4416106108119985E-003                  9.3604466091399777E-003                  3.4987745381637181E+000                  1.4003740779955065E+000                  1.3818709369761426E+000                  2.7450014354600674E+000                 -3.3676946273373289E+001                 -1.4282397193000191E-009                                        0                                        0 
                                       2                  3.9354796403996302E+003                  5.0000000000000000E+000                  3.3317562352075774E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1036                  1.0445350318375135E+000                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961001718E-001                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961001718E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9494358115862174E+033                  2.1051641872649055E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6763104292713770E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7560708836375927E+000                 -3.3683699016934412E+001                 -1.2643259817887209E+001                  2.7560708836375931E+000                  4.2354152042683975E+000                  1.7195515670691482E+004                  5.6606609055739784E+002                  2.7528671398256126E+000                  4.2886199782863821E-001                  4.2791353620918677E+000                  1.9016709055516196E+004                  7.4357048669493251E+000                  1.3199062098503791E+000                  1.6889912074513504E+001                  6.2044161688216348E-001                  8.4949015830735131E-001                  1.2981711897611550E+000                  6.9898000828399875E-001                  2.8045948009231880E-001                  4.5156760091188347E-005                  9.3085345255625312E-003                  3.4416106108119955E-003                  9.3604466091399743E-003                  3.4987619009670872E+000                  1.4003852409170048E+000                  1.3746880536401045E+000                  2.7376383449393242E+000                 -3.3683699016934412E+001                 -1.2264492933967456E-009                                        0                                        0 
                                       3                  6.5114299504793871E+003                  5.0000000000000000E+000                  3.4109374812552025E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0528095225817966E+000                  2.1001027669605277E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961009356E-001                  2.1001027669605277E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961009356E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9985113716462167E+032                  1.9494358115862174E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7576464558173601E+000                 -3.3690030519614417E+001                 -9.8999999999999986E+001                  2.7576464558173601E+000                  4.2350394647435534E+000                  1.7180645021837903E+004                  5.6313571011163413E+002                  2.7506130681200780E+000                  4.2848644102555689E-001                  4.2798864756980297E+000                  1.9049626968348020E+004                  7.4356050610411222E+000                  1.3190310565866796E+000                  1.6888945374700779E+001                  6.2044409829908886E-001                  8.4948751576256143E-001                  1.2981777540531283E+000                  6.9897471543584999E-001                  2.8046503993768190E-001                  4.6416672183604219E-005                  9.3078922250020447E-003                  3.4416106108119968E-003                  9.3604466091399777E-003                  3.4987466693290576E+000                  1.4003985754826311E+000                  1.3768555557037558E+000                  2.7391882351207082E+000                 -3.3690030519614417E+001                 -1.1246203213094407E-009                                        0                                        0 
                                       4                  9.6025703225750967E+003                  5.0000000000000000E+000                  3.4901187273028271E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0639152349332748E+000                  2.1001027669605277E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961022223E-001                  2.1001027669605277E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961022223E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9494358115862174E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7510684356692616E+000                 -3.3691488909118128E+001                 -1.2467168558831528E+001                  2.7510684356692616E+000                  4.2347529667990189E+000                  1.7169314930190078E+004                  5.6054530418745787E+002                  2.7486107187392013E+000                  4.2805826222418841E-001                  4.2807428333007671E+000                  1.9087226771504218E+004                  7.4355836589526039E+000                  1.3187353389935044E+000                  1.6888627204717551E+001                  6.2045121991995855E-001                  8.4948014600374588E-001                  1.2981963966559473E+000                  6.9895998311565721E-001                  2.8047975017826410E-001                  4.4892373063472946E-005                  9.3062092015804426E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  3.4987286825319766E+000                  1.4004145478226269E+000                  1.3698351363032450E+000                  2.7326294127488397E+000                 -3.3691488909118128E+001                 -1.0683416850773236E-009                                        0                                        0 
                                       5                  1.3311938769089949E+004                  5.0000000000000000E+000                  3.5692999733504522E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0534586791193632E+000                  2.1001027669605277E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961068320E-001                  2.1001027669605277E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961068320E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9330565237469440E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7470936359922971E+000                 -3.3692279800166887E+001                 -9.8999999999999986E+001                  2.7470936359922971E+000                  4.2344703462171891E+000                  1.7158145496890200E+004                  5.5795044243068844E+002                  2.7465956262947722E+000                  4.2761595716563255E-001                  4.2816274434178787E+000                  1.9126144976752679E+004                  7.4355730858438722E+000                  1.3185100117108779E+000                  1.6888389694618976E+001                  6.2045962215102468E-001                  8.4947138860321192E-001                  1.2982184842810360E+000                  6.9894247320176961E-001                  2.8049738650867201E-001                  4.4049696940068046E-005                  9.3041915935859962E-003                  3.4416106108119968E-003                  9.3604466091399777E-003                  3.4987073044800137E+000                  1.4004336935667983E+000                  1.3645662308500033E+000                  2.7287106533893017E+000                 -3.3692279800166887E+001                 -9.1947936331581207E-010                                        0                                        0 
                                       6                  1.7763180904907771E+004                  5.0000000000000000E+000                  3.6484812193980769E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0489069214914817E+000                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961118879E-001                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961118879E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9330565237469440E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7446650610896066E+000                 -3.3692797111289323E+001                 -9.8999999999999986E+001                  2.7446650610896066E+000                  4.2341840417670094E+000                  1.7146837882519740E+004                  5.5535323925850457E+002                  2.7445693093592491E+000                  4.2717540759823130E-001                  4.2825085425526810E+000                  1.9164987598079653E+004                  7.4355665880112740E+000                  1.3183222687598279E+000                  1.6888190690807786E+001                  6.2046980198382684E-001                  8.4946077470018577E-001                  1.2982452137154925E+000                  6.9892124924233523E-001                  2.8051886035218998E-001                  4.3637484828046460E-005                  9.3017352235928372E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  3.4986817968533450E+000                  1.4004566499804820E+000                  1.3600156619974637E+000                  2.7263735937207962E+000                 -3.3692797111289323E+001                 -7.6305440361687889E-010                                        0                                        0 
                                       7                  2.3104671467889155E+004                  5.0000000000000000E+000                  3.7276624654457016E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0467671621526007E+000                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961168173E-001                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961168173E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9330565237469440E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7430048125648612E+000                 -3.3693342205915457E+001                 -1.2643259817887209E+001                  2.7430048125648612E+000                  4.2338977578613246E+000                  1.7135538530732731E+004                  5.5283134802856159E+002                  2.7425926615184939E+000                  4.2675965148922351E-001                  4.2833400547706963E+000                  1.9201716562939422E+004                  7.4355588417363023E+000                  1.3181439685908087E+000                  1.6887998985309171E+001                  6.2048203457353435E-001                  8.4944806718911481E-001                  1.2982771962158310E+000                  6.9889583641531794E-001                  2.8054461931009927E-001                  4.3466121566396347E-005                  9.2987903751127806E-003                  3.4416106108119968E-003                  9.3604466091399777E-003                  3.4986513046430789E+000                  1.4004841802354036E+000                  1.3565397407396411E+000                  2.7247912803058592E+000                 -3.3693342205915457E+001                 -6.0001370637706200E-010                                        0                                        0 
                                       8                  2.9514460143466818E+004                  5.0000000000000000E+000                  3.8068437114933267E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0463491760906753E+000                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961211283E-001                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961211283E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9330565237469440E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7416159277578425E+000                 -3.3693986147678828E+001                 -9.8999999999999986E+001                  2.7416159277578420E+000                  4.2336250186203337E+000                  1.7124780699876810E+004                  5.5051982211613688E+002                  2.7407729608748439E+000                  4.2639527964937962E-001                  4.2840687984503845E+000                  1.9233963982451904E+004                  7.4355484930675884E+000                  1.3179756225238237E+000                  1.6887812543814189E+001                  6.2049659876036123E-001                  8.4943283343458176E-001                  1.2983155293718229E+000                  6.9886537003747706E-001                  2.8057552171490252E-001                  4.3414573767343832E-005                  9.2952605784091553E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  3.4986148299494890E+000                  1.4005171978443816E+000                  1.3536675006580641E+000                  2.7234658146557380E+000                 -3.3693986147678828E+001                 -4.3818898622501002E-010                                        0                                        0 
                                       9                  3.7206206554160010E+004                  5.0000000000000000E+000                  3.8860249575409513E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                     1031                  1.0474475962017205E+000                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961244523E-001                  2.0671207133792580E-001                  7.8130380498642182E-008                  9.9999999987728139E-001                  9.9999999961244523E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7931674088930099E+032                  1.9330565237469440E+033                  2.1297685717529959E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6455903441298409E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7402884262953848E+000                 -3.3694574633520531E+001                 -1.2944289813551190E+001                  2.7402884262953848E+000                  4.2333872584716614E+000                  1.7115408082319700E+004                  5.4858403378069750E+002                  2.7392431635640908E+000                  4.2610590129134729E-001                  4.2846475551664494E+000                  1.9259612953148171E+004                  7.4355382101235215E+000                  1.3178238385097381E+000                  1.6887640591046353E+001                  6.2051412683130580E-001                  8.4941455862806681E-001                  1.2983615141392340E+000                  6.9882882095050591E-001                  2.8061260173920932E-001                  4.3417760813262157E-005                  9.2910299545183230E-003                  3.4416106108119968E-003                  9.3604466091399777E-003                  3.4985711934509385E+000                  1.4005568028738660E+000                  1.3510906390044017E+000                  2.7221915532119549E+000                 -3.3694574633520531E+001                 -2.9000506554644663E-010                                        0                                        0 
